Region Name,Grid X,Grid Y,Updated Epoch,Parameters JSON
Qui Quon,261632,233984,1788349106,"{""DATA_SIM_POS_X"":261632,""DATA_SIM_POS_Y"":233984,""DATA_SIM_RATING"":""MATURE"",""DATA_SIM_STATUS"":""up"",""agent_limit"":25,""agent_limit_max"":25,""agent_reserved"":5,""agent_unreserved"":20,""allow_damage_adjust"":1,""chat_range"":20,""damage_limit"":0,""damage_throttle"":0,""death_action"":0,""dynamic_pathfinding"":""enabled"",""estate_id"":1,""estate_name"":""mainland"",""frame_number"":22095096,""grid"":""agni"",""health_regen_rate"":0.166667,""invulnerability_time"":0,""region_cpu_ratio"":4,""region_flags"":1114112,""region_idle"":0,""region_max_prims"":5000,""region_object_bonus"":1,""region_product_name"":""Mainland / Homestead"",""region_product_sku"":129,""region_rating"":""MATURE"",""region_start_time"":1787759331,""restore_health"":1,""restrict_combat_log"":0,""shout_range"":100,""sim_channel"":""Second Life RC LeTigre"",""sim_version"":""2026-08-03.30838755483"",""simulator_hostname"":""simhost-05af32fd1ef781722.agni.secondlife.io"",""whisper_range"":10}"
Lemongrass,261632,234240,1788349119,"{""DATA_SIM_POS_X"":261632,""DATA_SIM_POS_Y"":234240,""DATA_SIM_RATING"":""MATURE"",""DATA_SIM_STATUS"":""up"",""agent_limit"":25,""agent_limit_max"":25,""agent_reserved"":5,""agent_unreserved"":20,""allow_damage_adjust"":1,""chat_range"":20,""damage_limit"":0,""damage_throttle"":0,""death_action"":0,""dynamic_pathfinding"":""enabled"",""estate_id"":1,""estate_name"":""mainland"",""frame_number"":2257848,""grid"":""agni"",""health_regen_rate"":0.166667,""invulnerability_time"":0,""region_cpu_ratio"":4,""region_flags"":1114112,""region_idle"":0,""region_max_prims"":5000,""region_object_bonus"":1,""region_product_name"":""Mainland / Homestead"",""region_product_sku"":129,""region_rating"":""MATURE"",""region_start_time"":1788272043,""restore_health"":1,""restrict_combat_log"":0,""shout_range"":100,""sim_channel"":""Second Life Server"",""sim_version"":""2026-08-03.30838755483"",""simulator_hostname"":""simhost-0e529bea523b0e518.agni.secondlife.io"",""whisper_range"":10}"
Locksley,261632,234496,1788349139,"{""DATA_SIM_POS_X"":261632,""DATA_SIM_POS_Y"":234496,""DATA_SIM_RATING"":""MATURE"",""DATA_SIM_STATUS"":""up"",""agent_limit"":25,""agent_limit_max"":25,""agent_reserved"":5,""agent_unreserved"":20,""allow_damage_adjust"":1,""chat_range"":20,""damage_limit"":0,""damage_throttle"":0,""death_action"":0,""dynamic_pathfinding"":""enabled"",""estate_id"":1,""estate_name"":""mainland"",""frame_number"":17139644,""grid"":""agni"",""health_regen_rate"":0.166667,""invulnerability_time"":0,""region_cpu_ratio"":4,""region_flags"":1114112,""region_idle"":0,""region_max_prims"":5000,""region_object_bonus"":1,""region_product_name"":""Mainland / Homestead"",""region_product_sku"":129,""region_rating"":""MATURE"",""region_start_time"":1787759545,""restore_health"":1,""restrict_combat_log"":0,""shout_range"":100,""sim_channel"":""Second Life RC LeTigre"",""sim_version"":""2026-08-03.30838755483"",""simulator_hostname"":""simhost-0148186ac1f6ac8a7.agni.secondlife.io"",""whisper_range"":10}"
Pleiablo,261632,234752,1788349148,"{""DATA_SIM_POS_X"":261632,""DATA_SIM_POS_Y"":234752,""DATA_SIM_RATING"":""MATURE"",""DATA_SIM_STATUS"":""up"",""agent_limit"":25,""agent_limit_max"":25,""agent_reserved"":5,""agent_unreserved"":20,""allow_damage_adjust"":1,""chat_range"":20,""damage_limit"":0,""damage_throttle"":0,""death_action"":0,""dynamic_pathfinding"":""enabled"",""estate_id"":1,""estate_name"":""mainland"",""frame_number"":1858364,""grid"":""agni"",""health_regen_rate"":0.166667,""invulnerability_time"":0,""region_cpu_ratio"":4,""region_flags"":1114112,""region_idle"":0,""region_max_prims"":5000,""region_object_bonus"":1,""region_product_name"":""Mainland / Homestead"",""region_product_sku"":129,""region_rating"":""MATURE"",""region_start_time"":1788273291,""restore_health"":1,""restrict_combat_log"":0,""shout_range"":100,""sim_channel"":""Second Life Server"",""sim_version"":""2026-08-03.30838755483"",""simulator_hostname"":""simhost-0041375d9338aca9b.agni.secondlife.io"",""whisper_range"":10}"
Wylder,261632,235008,1788349159,"{""DATA_SIM_POS_X"":261632,""DATA_SIM_POS_Y"":235008,""DATA_SIM_RATING"":""MATURE"",""DATA_SIM_STATUS"":""up"",""agent_limit"":25,""agent_limit_max"":25,""agent_reserved"":5,""agent_unreserved"":20,""allow_damage_adjust"":1,""chat_range"":20,""damage_limit"":0,""damage_throttle"":0,""death_action"":0,""dynamic_pathfinding"":""enabled"",""estate_id"":1,""estate_name"":""mainland"",""frame_number"":18653968,""grid"":""agni"",""health_regen_rate"":0.166667,""invulnerability_time"":0,""region_cpu_ratio"":4,""region_flags"":1114112,""region_idle"":0,""region_max_prims"":5000,""region_object_bonus"":1,""region_product_name"":""Mainland / Homestead"",""region_product_sku"":129,""region_rating"":""MATURE"",""region_start_time"":1787761162,""restore_health"":1,""restrict_combat_log"":0,""shout_range"":100,""sim_channel"":""Second Life RC Magnum"",""sim_version"":""2026-08-03.30838755483"",""simulator_hostname"":""simhost-077fefdd6619723c9.agni.secondlife.io"",""whisper_range"":10}"
Fenstar,261632,235264,1788349206,"{""DATA_SIM_POS_X"":261632,""DATA_SIM_POS_Y"":235264,""DATA_SIM_RATING"":""MATURE"",""DATA_SIM_STATUS"":""up"",""agent_limit"":25,""agent_limit_max"":25,""agent_reserved"":5,""agent_unreserved"":20,""allow_damage_adjust"":1,""chat_range"":20,""damage_limit"":0,""damage_throttle"":0,""death_action"":0,""dynamic_pathfinding"":""enabled"",""estate_id"":1,""estate_name"":""mainland"",""frame_number"":19667134,""grid"":""agni"",""health_regen_rate"":0.166667,""invulnerability_time"":0,""region_cpu_ratio"":4,""region_flags"":1114112,""region_idle"":0,""region_max_prims"":5000,""region_object_bonus"":1,""region_product_name"":""Mainland / Homestead"",""region_product_sku"":129,""region_rating"":""MATURE"",""region_start_time"":1787759315,""restore_health"":1,""restrict_combat_log"":0,""shout_range"":100,""sim_channel"":""Second Life RC LeTigre"",""sim_version"":""2026-08-03.30838755483"",""simulator_hostname"":""simhost-0165b852b92e47d11.agni.secondlife.io"",""whisper_range"":10}"
Myatzo,261632,235520,1788349217,"{""DATA_SIM_POS_X"":261632,""DATA_SIM_POS_Y"":235520,""DATA_SIM_RATING"":""MATURE"",""DATA_SIM_STATUS"":""up"",""agent_limit"":25,""agent_limit_max"":25,""agent_reserved"":5,""agent_unreserved"":20,""allow_damage_adjust"":1,""chat_range"":20,""damage_limit"":0,""damage_throttle"":0,""death_action"":0,""dynamic_pathfinding"":""enabled"",""estate_id"":1,""estate_name"":""mainland"",""frame_number"":20326265,""grid"":""agni"",""health_regen_rate"":0.166667,""invulnerability_time"":0,""region_cpu_ratio"":4,""region_flags"":1114112,""region_idle"":0,""region_max_prims"":5000,""region_object_bonus"":1,""region_product_name"":""Mainland / Homestead"",""region_product_sku"":129,""region_rating"":""MATURE"",""region_start_time"":1787761053,""restore_health"":1,""restrict_combat_log"":0,""shout_range"":100,""sim_channel"":""Second Life RC Magnum"",""sim_version"":""2026-08-03.30838755483"",""simulator_hostname"":""simhost-01b3aca8821379583.agni.secondlife.io"",""whisper_range"":10}"
Ensel,261632,235776,1788349230,"{""DATA_SIM_POS_X"":261632,""DATA_SIM_POS_Y"":235776,""DATA_SIM_RATING"":""MATURE"",""DATA_SIM_STATUS"":""up"",""agent_limit"":25,""agent_limit_max"":25,""agent_reserved"":5,""agent_unreserved"":20,""allow_damage_adjust"":1,""chat_range"":20,""damage_limit"":0,""damage_throttle"":0,""death_action"":0,""dynamic_pathfinding"":""enabled"",""estate_id"":1,""estate_name"":""mainland"",""frame_number"":3409112,""grid"":""agni"",""health_regen_rate"":0.166667,""invulnerability_time"":0,""region_cpu_ratio"":4,""region_flags"":1114112,""region_idle"":0,""region_max_prims"":5000,""region_object_bonus"":1,""region_product_name"":""Mainland / Homestead"",""region_product_sku"":129,""region_rating"":""MATURE"",""region_start_time"":1788273424,""restore_health"":1,""restrict_combat_log"":0,""shout_range"":100,""sim_channel"":""Second Life Server"",""sim_version"":""2026-08-03.30838755483"",""simulator_hostname"":""simhost-0e541a09f77d40d90.agni.secondlife.io"",""whisper_range"":10}"
Sacrelle,261376,235776,1788349251,"{""DATA_SIM_POS_X"":261376,""DATA_SIM_POS_Y"":235776,""DATA_SIM_RATING"":""PG"",""DATA_SIM_STATUS"":""up"",""agent_limit"":25,""agent_limit_max"":25,""agent_reserved"":5,""agent_unreserved"":20,""allow_damage_adjust"":1,""chat_range"":20,""damage_limit"":0,""damage_throttle"":0,""death_action"":0,""dynamic_pathfinding"":""enabled"",""estate_id"":1,""estate_name"":""mainland"",""frame_number"":23550665,""grid"":""agni"",""health_regen_rate"":0.166667,""invulnerability_time"":0,""region_cpu_ratio"":4,""region_flags"":1114112,""region_idle"":0,""region_max_prims"":5000,""region_object_bonus"":1,""region_product_name"":""Mainland / Homestead"",""region_product_sku"":129,""region_rating"":""PG"",""region_start_time"":1787761120,""restore_health"":1,""restrict_combat_log"":0,""shout_range"":100,""sim_channel"":""Second Life RC Magnum"",""sim_version"":""2026-08-03.30838755483"",""simulator_hostname"":""simhost-0b234a31dfff1f424.agni.secondlife.io"",""whisper_range"":10}"
Phantasm,261120,235776,1788349275,"{""DATA_SIM_POS_X"":261120,""DATA_SIM_POS_Y"":235776,""DATA_SIM_RATING"":""MATURE"",""DATA_SIM_STATUS"":""up"",""agent_limit"":44,""agent_limit_max"":110,""agent_reserved"":4,""agent_unreserved"":40,""allow_damage_adjust"":1,""chat_range"":20,""damage_limit"":0,""damage_throttle"":0,""death_action"":0,""dynamic_pathfinding"":""enabled"",""estate_id"":1,""estate_name"":""mainland"",""frame_number"":26197179,""grid"":""agni"",""health_regen_rate"":0.166667,""invulnerability_time"":0,""region_cpu_ratio"":1,""region_flags"":1114112,""region_idle"":0,""region_max_prims"":22500,""region_object_bonus"":1,""region_product_name"":""Mainland / Full Region"",""region_product_sku"":""023"",""region_rating"":""MATURE"",""region_start_time"":1787758355,""restore_health"":1,""restrict_combat_log"":0,""shout_range"":100,""sim_channel"":""Second Life RC LeTigre"",""sim_version"":""2026-08-03.30838755483"",""simulator_hostname"":""simhost-04f671d8428a1697f.agni.secondlife.io"",""whisper_range"":10}"
